name	region	
EU068351|Angola|2001-01-15	Africa	
EU068362|Angola|2001-01-15	Africa	
EU068396|Angola|2001-01-15	Africa	
EU068411|Angola|2001-01-15	Africa	
EU068361|Angola|2001-01-15	Africa	
EU068425|Angola|2001-01-15	Africa	
EU068449|Angola|2001-01-15	Africa	
EU068397|Angola|2001-01-15	Africa	
EU068407|Angola|2001-01-15	Africa	
EU068447|Angola|2001-01-15	Africa	
EU068412|Angola|2001-01-15	Africa	
EU068372|Angola|2001-01-15	Africa	
AM041021|DemocraticRepublicCongo|2002-01-15	Africa	
AM041018|DemocraticRepublicCongo|2002-01-15	Africa	
DQ660131|Mozambique|2004-01-15	Africa	
FJ900264|Angola|2006-01-15	Africa	
FJ900263|Angola|2006-01-15	Africa	
FJ900266|Angola|2006-01-15	Africa	
FJ900268|Angola|2006-01-15	Africa	
FJ900262|Angola|2006-01-15	Africa	
FJ900267|Angola|2006-01-15	Africa	
FJ900261|Angola|2006-01-15	Africa	
FJ900265|Angola|2006-01-15	Africa	
HQ994101|Nigeria|2007-01-15	Africa	
MN179059|DemocraticRepublicCongo|2008-01-15	Africa	
MN179001|DemocraticRepublicCongo|2008-01-15	Africa	
MN179116|DemocraticRepublicCongo|2008-01-15	Africa	
MN178953|DemocraticRepublicCongo|2008-01-15	Africa	
MN179191|DemocraticRepublicCongo|2008-01-15	Africa	
MN178975|DemocraticRepublicCongo|2008-01-15	Africa	
JN937019|Angola|2008-01-15	Africa	
MN178934|DemocraticRepublicCongo|2008-01-15	Africa	
JN937026|Angola|2008-01-15	Africa	
JN937039|Angola|2008-01-15	Africa	
LT578264|CentralAfricanRepublic|2009-01-15	Africa	
LT578217|CentralAfricanRepublic|2009-01-15	Africa	
KF853738|Angola|2009-01-15	Africa	
KF853742|Angola|2009-01-15	Africa	
JN937051|Angola|2009-01-15	Africa	
JN937064|Angola|2009-01-15	Africa	
JQ616895|Angola|2009-01-15	Africa	
KF853650|Angola|2009-01-15	Africa	
KF853647|Angola|2009-01-15	Africa	
JN937044|Angola|2009-01-15	Africa	
KF853660|Angola|2009-01-15	Africa	
KF853718|Angola|2009-01-15	Africa	
KF853715|Angola|2009-01-15	Africa	
KF853668|Angola|2009-01-15	Africa	
JQ616904|Angola|2009-01-15	Africa	
KF853617|Angola|2009-01-15	Africa	
KF853724|Angola|2009-01-15	Africa	
KF853627|Angola|2009-01-15	Africa	
JQ796129|Cameroon|2009-01-15	Africa	
KJ395654|CapeVerde|2010-01-15	Africa	
KJ395655|CapeVerde|2010-01-15	Africa	
KJ395661|CapeVerde|2010-01-15	Africa	
JN937092|Angola|2010-01-15	Africa	
JN937111|Angola|2010-01-15	Africa	
JN937114|Angola|2010-01-15	Africa	
JN937113|Angola|2010-01-15	Africa	
JN937080|Angola|2010-01-15	Africa	
JN937089|Angola|2010-01-15	Africa	
JN937068|Angola|2010-01-15	Africa	
KJ395719|CapeVerde|2011-01-15	Africa	
KJ395718|CapeVerde|2011-01-15	Africa	
KJ395726|CapeVerde|2011-01-15	Africa	
KJ395663|CapeVerde|2011-01-15	Africa	
KJ395722|CapeVerde|2011-01-15	Africa	
KJ395723|CapeVerde|2011-01-15	Africa	
KJ395695|CapeVerde|2011-01-15	Africa	
JX110185|Congo|2011-01-15	Africa	
KX139355|Nigeria|2012-01-15	Africa	
KU684722|Cameroon|2012-01-15	Africa	
KX648645|Zimbabwe|2014-01-15	Africa	
KX894220|Cameroon|2014-01-15	Africa	
MF434920|Cameroon|2014-01-15	Africa	
MF797275|Cameroon|2015-01-15	Africa	
MH920415|DemocracticRepublicCongo|2016-01-15	Africa	
MK543544|Angola|2018-01-15	Africa	
MK543522|Angola|2018-01-15	Africa	
MK543516|Angola|2018-01-15	Africa	
MK543515|Angola|2018-01-15	Africa	
MK543538|Angola|2018-01-15	Africa	
MK543523|Angola|2018-01-15	Africa	
MK720299|Cameroon|2018-01-15	Africa	
MK720340|Cameroon|2018-01-15	Africa	
AF425459|Cuba|1999-01-15	AmericaCentral	
DQ113212|Cuba|2003-01-15	AmericaCentral	
EU312668|Honduras|2003-01-15	AmericaCentral	
KP688144|Cuba|2008-01-15	AmericaCentral	
JQ585271|Cuba|2009-01-15	AmericaCentral	
JQ585339|Cuba|2009-01-15	AmericaCentral	
JQ585416|Cuba|2010-01-15	AmericaCentral	
KF702324|Panama|2012-01-15	AmericaCentral	
AY901736|UnitedStates|1994-01-15	AmericaDoNorte	
KF727755|Canada|2007-01-15	AmericaDoNorte	
JX459997|UnitedStates|2007-01-15	AmericaDoNorte	
JX460126|UnitedStates|2008-01-15	AmericaDoNorte	
JX460243|UnitedStates|2009-01-15	AmericaDoNorte	
JX460558|UnitedStates|2010-01-15	AmericaDoNorte	
JX460454|UnitedStates|2010-01-15	AmericaDoNorte	
JX460497|UnitedStates|2010-01-15	AmericaDoNorte	
JX460496|UnitedStates|2010-01-15	AmericaDoNorte	
JX460475|UnitedStates|2010-01-15	AmericaDoNorte	
MG941988|UnitedStates|2011-01-15	AmericaDoNorte	
JX460673|UnitedStates|2011-01-15	AmericaDoNorte	
MG942455|UnitedStates|2012-01-15	AmericaDoNorte	
MG943024|UnitedStates|2014-01-15	AmericaDoNorte	
MG943639|UnitedStates|2016-01-15	AmericaDoNorte	
OP655988|UnitedStates|2017-01-15	AmericaDoNorte	
AY566123|Colombia|Bogota|2000-01-15	AmericaDoSul	
JN710763|Bolivia|1996-01-15	AmericaDoSul	
JN710764|Bolivia|1996-01-15	AmericaDoSul	
AY365724|Argentina|2001-01-15	AmericaDoSul	
DQ189088|Argentina|2002-01-15	AmericaDoSul	
EF120082|Argentina|2003-01-15	AmericaDoSul	
EF120104|Argentina|2003-01-15	AmericaDoSul	
EF120140|Argentina|2003-01-15	AmericaDoSul	
EF120233|Argentina|2003-01-15	AmericaDoSul	
EF120355|Argentina|2003-01-15	AmericaDoSul	
EF120176|Argentina|2003-01-15	AmericaDoSul	
JN669482|Argentina|2003-01-15	AmericaDoSul	
JN669733|Argentina|2004-01-15	AmericaDoSul	
JN670311|Argentina|2005-01-15	AmericaDoSul	
MT741451|FrenchGuiana|2005-01-15	AmericaDoSul	
JN670253|Argentina|2005-01-15	AmericaDoSul	
JN670373|Argentina|2005-01-15	AmericaDoSul	
JN670100|Argentina|2005-01-15	AmericaDoSul	
JN671097|Argentina|2006-01-15	AmericaDoSul	
JN671057|Argentina|2006-01-15	AmericaDoSul	
KU052741|FrenchGuiana|2006-01-15	AmericaDoSul	
MT741452|FrenchGuiana|2006-01-15	AmericaDoSul	
JN670706|Argentina|2006-01-15	AmericaDoSul	
FJ525819|Argentina|2006-01-15	AmericaDoSul	
MT741453|FrenchGuiana|2007-01-15	AmericaDoSul	
JN671350|Argentina|2007-01-15	AmericaDoSul	
KT998121|FrenchGuiana|2009-01-15	AmericaDoSul	
KC534947|Argentina|2009-01-15	AmericaDoSul	
MT741454|FrenchGuiana|2010-01-15	AmericaDoSul	
KT998267|FrenchGuiana|2012-01-15	AmericaDoSul	
MT741456|FrenchGuiana|2012-01-15	AmericaDoSul	
MT741455|FrenchGuiana|2012-01-15	AmericaDoSul	
MT741459|FrenchGuiana|2013-01-15	AmericaDoSul	
MT741457|FrenchGuiana|2013-01-15	AmericaDoSul	
MT741458|FrenchGuiana|2013-01-15	AmericaDoSul	
MT741460|FrenchGuiana|2013-01-15	AmericaDoSul	
MT741462|FrenchGuiana|2014-01-15	AmericaDoSul	
MT741461|FrenchGuiana|2014-01-15	AmericaDoSul	
MT741463|FrenchGuiana|2015-01-15	AmericaDoSul	
MT741464|FrenchGuiana|2015-01-15	AmericaDoSul	
OK648372|Peru|2015-01-15	AmericaDoSul	
MT741470|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741465|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741471|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741468|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741467|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741469|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741466|FrenchGuiana|2016-01-15	AmericaDoSul	
MT741474|FrenchGuiana|2017-01-15	AmericaDoSul	
MT741473|FrenchGuiana|2017-01-15	AmericaDoSul	
MT741475|FrenchGuiana|2017-01-15	AmericaDoSul	
MT741472|FrenchGuiana|2017-01-15	AmericaDoSul	
OQ377039|BR|2018-01-15	AmericaDoSul	
OQ377040|BR|2019-01-15	AmericaDoSul	
AB640464|Japan|2003-01-15	Asia	
FJ009814|Russia|2006-01-15	Asia	
KC352099|China|2007-01-15	Asia	
AB866775|Japan|2008-01-15	Asia	
AB866092|Japan|2009-01-15	Asia	
KT378870|China|2009-01-15	Asia	
MN908888|China|2010-01-15	Asia	
AB866302|Japan|2011-01-15	Asia	
MW954811|China|2012-01-15	Asia	
KP121018|Turkey|2012-01-15	Asia	
AB864437|Japan|2012-01-15	Asia	
MN908890|China|2012-01-15	Asia	
