name	region	
EU068351|Angola|2001-01-15	África	
EU068362|Angola|2001-01-15	África	
EU068396|Angola|2001-01-15	África	
EU068411|Angola|2001-01-15	África	
EU068361|Angola|2001-01-15	África	
EU068425|Angola|2001-01-15	África	
EU068449|Angola|2001-01-15	África	
EU068397|Angola|2001-01-15	África	
EU068407|Angola|2001-01-15	África	
EU068447|Angola|2001-01-15	África	
EU068412|Angola|2001-01-15	África	
EU068372|Angola|2001-01-15	África	
AM041021|DemocraticRepublicCongo|2002-01-15	África	
AM041018|DemocraticRepublicCongo|2002-01-15	África	
DQ660131|Mozambique|2004-01-15	África	
FJ900264|Angola|2006-01-15	África	
FJ900263|Angola|2006-01-15	África	
FJ900266|Angola|2006-01-15	África	
FJ900268|Angola|2006-01-15	África	
FJ900262|Angola|2006-01-15	África	
FJ900267|Angola|2006-01-15	África	
FJ900261|Angola|2006-01-15	África	
FJ900265|Angola|2006-01-15	África	
HQ994101|Nigeria|2007-01-15	África	
MN179059|DemocraticRepublicCongo|2008-01-15	África	
MN179001|DemocraticRepublicCongo|2008-01-15	África	
MN179116|DemocraticRepublicCongo|2008-01-15	África	
MN178953|DemocraticRepublicCongo|2008-01-15	África	
MN179191|DemocraticRepublicCongo|2008-01-15	África	
MN178975|DemocraticRepublicCongo|2008-01-15	África	
JN937019|Angola|2008-01-15	África	
MN178934|DemocraticRepublicCongo|2008-01-15	África	
JN937026|Angola|2008-01-15	África	
JN937039|Angola|2008-01-15	África	
LT578264|CentralAfricanRepublic|2009-01-15	África	
LT578217|CentralAfricanRepublic|2009-01-15	África	
KF853738|Angola|2009-01-15	África	
KF853742|Angola|2009-01-15	África	
JN937051|Angola|2009-01-15	África	
JN937064|Angola|2009-01-15	África	
JQ616895|Angola|2009-01-15	África	
KF853650|Angola|2009-01-15	África	
KF853647|Angola|2009-01-15	África	
JN937044|Angola|2009-01-15	África	
KF853660|Angola|2009-01-15	África	
KF853718|Angola|2009-01-15	África	
KF853715|Angola|2009-01-15	África	
KF853668|Angola|2009-01-15	África	
JQ616904|Angola|2009-01-15	África	
KF853617|Angola|2009-01-15	África	
KF853724|Angola|2009-01-15	África	
KF853627|Angola|2009-01-15	África	
JQ796129|Cameroon|2009-01-15	África	
KJ395654|CapeVerde|2010-01-15	África	
KJ395655|CapeVerde|2010-01-15	África	
KJ395661|CapeVerde|2010-01-15	África	
JN937092|Angola|2010-01-15	África	
JN937111|Angola|2010-01-15	África	
JN937114|Angola|2010-01-15	África	
JN937113|Angola|2010-01-15	África	
JN937080|Angola|2010-01-15	África	
JN937089|Angola|2010-01-15	África	
JN937068|Angola|2010-01-15	África	
KJ395719|CapeVerde|2011-01-15	África	
KJ395718|CapeVerde|2011-01-15	África	
KJ395726|CapeVerde|2011-01-15	África	
KJ395663|CapeVerde|2011-01-15	África	
KJ395722|CapeVerde|2011-01-15	África	
KJ395723|CapeVerde|2011-01-15	África	
KJ395695|CapeVerde|2011-01-15	África	
JX110185|Congo|2011-01-15	África	
KX139355|Nigeria|2012-01-15	África	
